unique_id,person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic
bbcde774-44ba-4d28-b38b-bd03074a1940,Teresa Aldonza Ceballos,antoniacabrera,ericde-la-fuente@example.net,06444632936,1939-03-30,"Pasaje Navarrete 564 Edif. 496 , Depto. 255
Nueva Papua Nueva Guinea, AGS 99145-9141",414.419.7468x930,78:bc:10:3b:a0:3e,49.249.171.43,GB27PMVC2042167365773,2024-07-31T16:38:31.204515,2069,86.22,68.82,289.45
2e289455-95bb-415c-8d6e-adda1c326aa3,Gustavo Rivero,pocasio,gabinopalomo@example.com,02095139537,1991-02-13,"Peatonal Llamas 378 Interior 653
San Helena de la Montaña, Q. ROO 19639",795-659-9843,92:df:35:48:b9:92,120.227.85.20,GB40SVNX8008936153127,2024-11-23T08:50:07.044969,1788,370.11,83.64,3863.87
5e149008-17e2-411e-b1e4-fc1d72fb08bf,Benito Oquendo,pantojacamila,pgarza@example.com,32348553010,1958-03-26,"Ampliación Fajardo 143 Interior 649
San Jaime los bajos, YUC 29628-3950",809.131.3557x3274,f6:87:0b:31:6f:b5,197.12.101.115,GB80NZXT8612644195558,2025-02-10T11:50:50.685864,789,139.53,196.16,369.06
0572f2e6-34fa-412f-922e-a5996401568d,Sr(a). Arcelia Quintero,bvargas,ksaldivar@example.net,37417634583,1934-09-19,"Prolongación Sonora 586 Interior 651
Vieja Nicaragua, AGS 85665-3940",1-473-119-5350,ce:5b:de:a0:d9:70,198.106.167.70,GB20HIDP7548141553847,2024-08-19T03:12:06.067530,1290,435.72,155.19,1304.05
6b0e68eb-d42c-4a7c-a3ea-b15f752434b2,Marco Antonio Vargas de León,ncasillas,germannava@example.com,54722125678,1979-01-28,"Cerrada República Federal Democrática de Nepal 456 240
Nueva Albania, OAX 48306-3117",850-189-6906x83623,a8:4a:70:c6:e5:b2,172.135.5.129,GB72GZSC7647938760202,2025-05-04T03:32:20.726140,1337,18.93,23.34,645.28
56b6ad37-460b-4f8a-a2e9-071ce7fc7d1a,Enrique Diego Guerrero Quintanilla,leonorcamarillo,camachomitzy@example.com,41679502660,1939-08-21,"Calle Norte Molina 774 116
San Guadalupe los altos, SON 02021",(294)023-4320,da:e4:26:a2:0a:d8,157.13.181.95,GB88DHGW5860189846138,2025-02-14T04:58:35.370890,2740,268.46,34.28,1104.38
84152386-a384-4a2e-acad-9a9b6a52eed2,Óscar de Anda Colunga,humberto81,wilfridooquendo@example.org,76483817193,1973-05-30,"Cerrada Sudáfrica 917 Edif. 124 , Depto. 458
Vieja Islas Salomón, QRO 03587-5009",1-505-072-9624,1c:74:d4:c9:57:79,65.35.102.43,GB20XOHM1095416419481,2024-11-20T20:16:43.198022,3247,301.21,51.32,593.1
5d4768f2-8541-4af1-a5ab-389e94300711,Abigail Alonso Baeza,aocasio,gilbertocarrillo@example.net,11403183103,1955-06-03,"Peatonal Negrete 225 Interior 119
Nueva Nigeria, HGO 94133-6778",(987)787-8509,10:3f:16:d9:cd:7a,172.46.153.36,GB02BKUL2705091700686,2025-06-21T15:23:57.759482,492,57.17,17.38,962.73
eba5c745-2cd7-4005-9ca3-741409ed1988,Flavio Aragón Berríos,acostasergio,minervanajera@example.com,95988583761,1985-11-18,"Viaducto Malawi 812 Edif. 769 , Depto. 371
San Tomás los altos, AGS 85536",1-747-367-8125x6725,b6:51:38:8b:5a:34,186.84.137.244,GB56YUHC8493799924232,2024-09-30T22:23:45.929642,3092,207.84,153.21,1523.73
77792afa-0161-4b6d-80f1-0043e29131f9,Guadalupe Karina Elizondo Ferrer,venegasleonardo,lbueno@example.com,42457136960,1953-02-03,"Circuito Haití 975 618
San Cristina los bajos, BC 70008-3159",(131)271-8538,b6:b0:9d:31:68:ef,149.217.15.161,GB11QWRH6123825507621,2024-08-22T11:46:02.753031,3237,12.34,130.14,3332.87
