person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Renata Pușcașu,renatapușcașu,renatapușcașu@kappa.ro,1971016012967,1915-06-29,"Drumul Georgeta Ene, Deva, 982483",0754 585 563,12:87:8c:72:b5:52,77.154.80.107,RO67BGAT0317561879445812,2025-07-07 11:46:02,22976,190,122,335159,77b4ee75-91ed-4501-a6a1-23f1cfdcdf22
Codrina Preda,codrinapreda,codrinapreda@gmail.com,6610506324585,1943-11-24,"Intrarea Nemeș, Raducaneni, 749965",0768 620 744,f3:f1:25:9d:ba:2c,210.7.42.252,RO71IFGE6059999429214974,2025-07-07 11:46:02,15712,635,183,1152283,501e148d-cd46-49e7-a17a-9e31ed34feb0
Ioanina Tabacu,ioaninatabacu,ioaninatabacu@post.ro,4800314010513,2001-03-13,"Intrarea Aanei, Pechea, 646607",0750 296 685,14:3e:27:2e:ee:e6,208.208.8.19,RO89ZGQE1333945790897648,2025-07-07 11:46:02,3453,13,368,917082,1f45a4df-d786-4ca4-be4a-beacf272951c
Dinu Nistor,dinunistor,dinunistor@141.ro,7670431300276,1993-05-24,"Bulevardul Oprea, Dumbraveni, 624709",0725 476 261,24:eb:3b:11:48:39,142.148.207.192,RO11PIQI6076883268080731,2025-07-07 11:46:02,19300,127,558,1640911,ba5d495c-1e72-40c3-9c02-d8e7177760b5
Cezar Mazilescu,cezarmazilescu,cezarmazilescu@post.ro,3080507091858,2013-07-09,"Intrarea Julia Aanei, Mangalia, 762521",0769 153 758,c1:00:91:46:8f:5b,53.242.150.24,RO34EYFL8488478031234605,2025-07-07 11:46:02,2628,301,18,888285,13c6a89d-045b-491f-8ec8-7b7d3d045441
Cristina Stancu,cristinastancu,cristinastancu@kappa.ro,2010310320445,1972-09-18,"Aleea Ioniță Nr. 986 Bl. 24  Sc. 78 Ap. 413, Vlahita, 496198",0245 647 442,88:8e:01:47:ad:aa,27.16.225.42,RO42AHVL4880111273196943,2025-07-07 11:46:02,5528,173,554,1757267,abfd8dca-dd37-42df-93ad-6a75ae4b0777
Ada Ioniță,adaioniță,adaioniță@gmail.com,5981206159952,1962-09-28,"Drumul Marin Nr. 424, Fetesti, 848252",0267 056 596,72:13:39:95:65:81,100.170.8.136,RO42EPAB5039413480059123,2025-07-07 11:46:02,12566,978,26,1406881,e730be7d-b5fb-42ca-90bc-da28ad69b5cb
Lică Oprea,licăoprea,licăoprea@email.ro,1290615201334,1997-03-21,"Intrarea Nemeș, Gaesti, 756912",0244 774 712,05:ac:a0:16:55:d3,176.223.230.147,RO66TWSU5731347530864152,2025-07-07 11:46:02,31609,515,730,1500013,033d7564-0dcd-4fe3-b7fc-3d340c348950
Gabriel Popescu,gabrielpopescu,gabrielpopescu@kappa.ro,7661028378783,2005-06-06,"Strada Alexandrina Suciu Nr. 303 Bl. 39  Sc. 49 Ap. 529, Sannicolau Mare, 347173",0242 539 066,f9:dc:1d:b5:f2:6c,184.132.98.203,RO77AURQ2563739298370713,2025-07-07 11:46:02,5918,926,744,266111,833e8e6a-63f9-49e7-ae16-3fb7ad1cc50b
Ioana Aanei,ioanaaanei,ioanaaanei@kappa.ro,8130412447474,1941-11-20,"Strada Teea Marin Nr. 81 Bl. 41  Sc. 56 Ap. 108, Hateg, 348116",0726 364 447,03:84:8a:7e:fe:8b,47.53.112.79,RO15WFSB4501952929420525,2025-07-07 11:46:02,27958,257,8,886190,11b4c9ee-3645-4341-b869-037909b0d7ae
